Demographics,S07,Age,25
,,Gender,Male
,,DominantHand,Right
,,Education,college
,,MaritialStatus,single
,,Children,no
,S19,Age,24
,,Gender,male
,,DominantHand,right
,,Education,college
,,MaritialStatus,single
,,Children,no
,S29,Age,28
,,Gender,female
,,DominantHand,right
,,Education,master
,,MaritialStatus,single
,,Children,no
,S43,Age,25
,,Gender,female
,,DominantHand,left
,,Education,master
,,MaritialStatus,single
,,Children,no
,,,
Profile,,Field,Value
,S07,WeeklySupermarketVisits,1-2 times
,,SupermarketVisitDuration,15-30 minutes
,,PriceImpact,7
,,BrandImpact,5
,,DiscountImpact,7
,,AdvertisementImpact,2
,,SuggestionImpact,8
,,ShoppingList,yes
,,VerbalVisual,2.5
,,Spontaneous,2.3333
,,VarietySeeker,2.4
,,UtilitarianMotivation,4
,,HedonicMotivation,2.4286
,,Extraversion,4
,,Neuroticism,2.5
,,Agreeableness,3.5
,,Openness,4
,,Conscientiousness,3
,,BargainHunter,3.5
,S19,WeeklySupermarketVisits,2-3 times
,,SupermarketVisitDuration,30-60 minutes
,,PriceImpact,8
,,BrandImpact,6
,,DiscountImpact,7
,,AdvertisementImpact,4
,,SuggestionImpact,7
,,ShoppingList,no
,,VerbalVisual,3.1818
,,Spontaneous,2.5556
,,VarietySeeker,3
,,UtilitarianMotivation,4.1429
,,HedonicMotivation,3
,,Extraversion,4
,,Neuroticism,4
,,Agreeableness,2.5
,,Openness,3.5
,,Conscientiousness,3.5
,,BargainHunter,3.25
,S29,WeeklySupermarketVisits,1-2 times
,,SupermarketVisitDuration,15-30 minutes
,,PriceImpact,9
,,BrandImpact,9
,,DiscountImpact,8
,,AdvertisementImpact,8
,,SuggestionImpact,9
,,ShoppingList,yes
,,VerbalVisual,3.1364
,,Spontaneous,2.1111
,,VarietySeeker,3
,,UtilitarianMotivation,3.4286
,,HedonicMotivation,2.4286
,,Extraversion,4
,,Neuroticism,3
,,Agreeableness,4
,,Openness,3.5
,,Conscientiousness,3.5
,,BargainHunter,3.25
,S43,WeeklySupermarketVisits,1-2 times
,,SupermarketVisitDuration,15-30 minutes
,,PriceImpact,7
,,BrandImpact,5
,,DiscountImpact,7
,,AdvertisementImpact,2
,,SuggestionImpact,8
,,ShoppingList,yes
,,VerbalVisual,2.5
,,Spontaneous,2.3333
,,VarietySeeker,2.4
,,UtilitarianMotivation,4
,,HedonicMotivation,2.4286
,,Extraversion,4
,,Neuroticism,2.5
,,Agreeableness,3.5
,,Openness,4
,,Conscientiousness,3
,,BargainHunter,3.5
